operation_name,query_id,operation_kind,frequency,n_steps,entities,relationships,access_sequence,description
Q1_CompanyProfileIBM,Q1,read,1.0,1,['Corporation'],[],Corporation,Show the profile of company IBM.
Q2a_CompanyIndustry,Q2,read,1.0,3,"['Corporation', 'Industry']",['corporation_has_industry'],Corporation -> corporation_has_industry -> Industry,Show IBM with its industry.
Q2b_CompanyCountry,Q2,read,1.0,3,"['Corporation', 'Country']",['corporation_has_country'],Corporation -> corporation_has_country -> Country,Show IBM with its country.
Q2c_CompanyListedSecurities,Q2,read,1.0,3,"['Corporation', 'ListedSecurity']",['corporation_has_listed_security'],Corporation -> corporation_has_listed_security -> ListedSecurity,Show IBM with its listed securities.
Q3_SecuritiesHeldInEachFinancialServiceAccount,Q3,read,1.0,7,"['FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Security']","['account_has_holding', 'holding_refers_to_listed_security', 'listed_security_represents_security']",FinancialServiceAccount -> account_has_holding -> Holding -> holding_refers_to_listed_security -> ListedSecurity -> listed_security_represents_security -> Security,Show the securities held in each financial service account.
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4,read,1.0,9,"['Person', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Corporation']","['person_owns_financial_service_account', 'account_has_holding', 'holding_refers_to_listed_security', 'corporation_has_listed_security']",Person -> person_owns_financial_service_account -> FinancialServiceAccount -> account_has_holding -> Holding -> holding_refers_to_listed_security -> ListedSecurity -> corporation_has_listed_security -> Corporation,"Show the companies reached from a person through account, holding, and listed security."
Q5a_ReportsAndStatementMetricDataOfCompany,Q5,read,1.0,7,"['Corporation', 'FinancialReport', 'ReportElement', 'StatementElement']","['corporation_has_financial_report', 'financial_report_contains_report_element', 'report_element_has_statement_element']",Corporation -> corporation_has_financial_report -> FinancialReport -> financial_report_contains_report_element -> ReportElement -> report_element_has_statement_element -> StatementElement,Show the financial reports of a company and the statement metric data contained in each report.
Q5b_ReportsAndDisclosuresOfCompany,Q5,read,1.0,5,"['Corporation', 'FinancialReport', 'Disclosure']","['corporation_has_financial_report', 'financial_report_contains_disclosure']",Corporation -> corporation_has_financial_report -> FinancialReport -> financial_report_contains_disclosure -> Disclosure,Show the financial reports of a company and the disclosure data contained in each report.
Q6a_TechIndustryFilter,Q6,read,1.0,3,"['Corporation', 'Industry']",['corporation_has_industry'],Corporation -> corporation_has_industry -> Industry,Filter companies by technology industry.
Q6b_USCountryFilter,Q6,read,1.0,3,"['Corporation', 'Country']",['corporation_has_country'],Corporation -> corporation_has_country -> Country,Filter companies by US country.
