benchmark_run_id,experiment_id,config_name,activated_class,benchmark_family,scale_factor,scale_label,mongo_db_name,selected_root,primary_collection,embedding_depth,embedding_variant,embedded_entities,snapshot_entities,referenced_entities,query_name,query_group,run_phase,phase_order,repetition,execution_status,error_message,start_ts,end_ts,latency_ms,success,documents_returned,documents_written,bytes_read_estimate,bytes_written_estimate,experiment_goal,query_group_order,execution_db_name,explain_verbosity,param_json,notes,n_components,sum_execution_time_ms,sum_n_returned,sum_total_docs_examined,sum_total_keys_examined,docs_per_returned_total,keys_per_returned_total,has_ixscan_any,has_collscan_any,has_fetch_any,has_sort_any,has_update_any,has_and_sorted_any,has_or_stage_any,has_projection_any,has_lookup_any,has_group_any,used_disk_any,all_stages,all_index_names,component_collections,unique_component_collection_count,sum_collection_count_unique,sum_collection_size_bytes_unique,sum_collection_storage_size_bytes_unique,sum_collection_total_index_size_bytes_unique,sum_collection_total_size_bytes_unique,max_collection_avg_obj_size_bytes,sum_estimated_docs_examined_bytes,sum_estimated_returned_bytes,estimated_examined_bytes_per_returned,max_docs_examined_collection_ratio,max_index_to_data_size_ratio
watchitem_g0_sf0.25__primary__QG10_AdvancedSearchWatchItems__hot__r01,watchitem_g0_sf0.25,watchitem_g0,G0,root_local_family,0.25,sf0.25,imdb_mongo_sf0.25_watchitem_g0,WatchItem,watchitems,0,baseline_document,[],[],"['Genre', 'Movie', 'Series', 'Episode', 'Role', 'Person']",QG10_AdvancedSearchWatchItems,primary,hot,2,1,completed,,2026-05-28 12:07:40.592305+00:00,2026-05-28 12:07:40.870080+00:00,,,,,,,"Testar a configuração watchitem_g0 (G0) na família root_local_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",1,imdb_exec_sf0_25,executionStats,"{""genre"": ""Drama"", ""keyword"": ""The"", ""rating_min"": 9.3, ""subtype"": ""movie"", ""year_min"": ""1994""}",,1,267.0,17.0,10513.0,10513.0,618.4117647058823,618.4117647058823,True,False,True,True,False,False,False,False,False,False,False,LIMIT|FETCH|IXSCAN|SORT,avg_rating_1|primary_genre_1|title_type_1|title_1|release_year_1,watchitems,1,3119040.0,1036256280.0,206950400.0,334536704.0,541487104.0,332.0,3490316.0,5644.0,205312.70588235295,0.0033705883861701036,0.3228320160337171
watchitem_g0_sf0.25__primary__QG1_WatchItemById__hot__r01,watchitem_g0_sf0.25,watchitem_g0,G0,root_local_family,0.25,sf0.25,imdb_mongo_sf0.25_watchitem_g0,WatchItem,watchitems,0,baseline_document,[],[],"['Genre', 'Movie', 'Series', 'Episode', 'Role', 'Person']",QG1_WatchItemById,primary,hot,2,1,completed,,2026-05-28 12:07:40.870319+00:00,2026-05-28 12:07:40.877703+00:00,,,,,,,"Testar a configuração watchitem_g0 (G0) na família root_local_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",1,imdb_exec_sf0_25,executionStats,"""tt0111161""",,1,0.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,EXPRESS_IXSCAN,watchitem_id_1,watchitems,1,3119040.0,1036256280.0,206950400.0,334536704.0,541487104.0,332.0,332.0,332.0,332.0,3.2061147019595773e-07,0.3228320160337171
watchitem_g0_sf0.25__primary__QG2_WatchItemByTitle__hot__r01,watchitem_g0_sf0.25,watchitem_g0,G0,root_local_family,0.25,sf0.25,imdb_mongo_sf0.25_watchitem_g0,WatchItem,watchitems,0,baseline_document,[],[],"['Genre', 'Movie', 'Series', 'Episode', 'Role', 'Person']",QG2_WatchItemByTitle,primary,hot,2,1,completed,,2026-05-28 12:07:40.877862+00:00,2026-05-28 12:07:40.883833+00:00,,,,,,,"Testar a configuração watchitem_g0 (G0) na família root_local_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",1,imdb_exec_sf0_25,executionStats,"""The Shawshank Redemption""",,1,0.0,2.0,2.0,2.0,1.0,1.0,True,False,True,False,False,False,False,False,False,False,False,LIMIT|FETCH|IXSCAN,title_1,watchitems,1,3119040.0,1036256280.0,206950400.0,334536704.0,541487104.0,332.0,664.0,664.0,332.0,6.412229403919155e-07,0.3228320160337171
watchitem_g0_sf0.25__primary__QG3_RecommendationByGenreAndSubtype__hot__r01,watchitem_g0_sf0.25,watchitem_g0,G0,root_local_family,0.25,sf0.25,imdb_mongo_sf0.25_watchitem_g0,WatchItem,watchitems,0,baseline_document,[],[],"['Genre', 'Movie', 'Series', 'Episode', 'Role', 'Person']",QG3_RecommendationByGenreAndSubtype,primary,hot,2,1,completed,,2026-05-28 12:07:40.883982+00:00,2026-05-28 12:07:40.890929+00:00,,,,,,,"Testar a configuração watchitem_g0 (G0) na família root_local_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",1,imdb_exec_sf0_25,executionStats,"{""primary_genre"": ""Drama"", ""title_type"": ""tvEpisode""}",,1,0.0,20.0,21.0,21.0,1.05,1.05,True,False,True,True,False,True,False,False,False,False,False,LIMIT|FETCH|IXSCAN|SORT|AND_SORTED,avg_rating_1|title_type_1|primary_genre_1,watchitems,1,3119040.0,1036256280.0,206950400.0,334536704.0,541487104.0,332.0,6972.0,6640.0,348.6,6.732840874115113e-06,0.3228320160337171
watchitem_g0_sf0.25__primary__QG7_UpdateWatchItemMetadata__hot__r01,watchitem_g0_sf0.25,watchitem_g0,G0,root_local_family,0.25,sf0.25,imdb_mongo_sf0.25_watchitem_g0,WatchItem,watchitems,0,baseline_document,[],[],"['Genre', 'Movie', 'Series', 'Episode', 'Role', 'Person']",QG7_UpdateWatchItemMetadata,primary,hot,2,1,completed,,2026-05-28 12:07:40.891086+00:00,2026-05-28 12:07:40.899042+00:00,,,,,,,"Testar a configuração watchitem_g0 (G0) na família root_local_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",1,imdb_exec_sf0_25,executionStats,"""tt0111161""",,1,1.0,0.0,1.0,1.0,,,True,False,True,False,True,False,False,False,False,False,False,UPDATE|FETCH|IXSCAN,watchitem_id_1,watchitems,1,3119040.0,1036256280.0,206950400.0,334536704.0,541487104.0,332.0,332.0,0.0,,3.2061147019595773e-07,0.3228320160337171
watchitem_g0_sf0.25__primary__QG9_TopRatedSeriesByGenre__hot__r01,watchitem_g0_sf0.25,watchitem_g0,G0,root_local_family,0.25,sf0.25,imdb_mongo_sf0.25_watchitem_g0,WatchItem,watchitems,0,baseline_document,[],[],"['Genre', 'Movie', 'Series', 'Episode', 'Role', 'Person']",QG9_TopRatedSeriesByGenre,primary,hot,2,1,completed,,2026-05-28 12:07:40.899189+00:00,2026-05-28 12:07:40.954948+00:00,,,,,,,"Testar a configuração watchitem_g0 (G0) na família root_local_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",1,imdb_exec_sf0_25,executionStats,"""Comedy""",,1,48.0,20.0,6311.0,6311.0,315.55,315.55,True,False,True,True,False,True,False,False,False,False,False,LIMIT|FETCH|IXSCAN|SORT|AND_SORTED,avg_rating_1|title_type_1|primary_genre_1,watchitems,1,3119040.0,1036256280.0,206950400.0,334536704.0,541487104.0,332.0,2095252.0,6640.0,104762.6,0.002023378988406689,0.3228320160337171
watchitem_g2_sf0.25__primary__QG10_AdvancedSearchWatchItems__hot__r01,watchitem_g2_sf0.25,watchitem_g2,G2,root_local_family,0.25,sf0.25,imdb_mongo_sf0.25_watchitem_g2,WatchItem,watchitems,1,shared_descriptor,['Genre'],[],"['Movie', 'Series', 'Episode']",QG10_AdvancedSearchWatchItems,primary,hot,2,1,completed,,2026-05-28 12:13:44.076880+00:00,2026-05-28 12:13:44.370669+00:00,,,,,,,"Testar a configuração watchitem_g2 (G2) na família root_local_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",1,imdb_exec_sf0_25,executionStats,"{""genre"": ""Drama"", ""keyword"": ""The"", ""rating_min"": 9.3, ""subtype"": ""movie"", ""year_min"": ""1994""}",,1,281.0,17.0,10513.0,10513.0,618.4117647058823,618.4117647058823,True,False,True,True,False,False,False,False,False,False,False,LIMIT|FETCH|IXSCAN|SORT,avg_rating_1|title_type_1|title_1|release_year_1,watchitems,1,3119040.0,1137905888.0,224305152.0,334757888.0,559063040.0,364.0,3826732.0,6188.0,225101.88235294117,0.0033705883861701036,0.2941876753870879
watchitem_g2_sf0.25__primary__QG3_RecommendationByGenreAndSubtype__hot__r01,watchitem_g2_sf0.25,watchitem_g2,G2,root_local_family,0.25,sf0.25,imdb_mongo_sf0.25_watchitem_g2,WatchItem,watchitems,1,shared_descriptor,['Genre'],[],"['Movie', 'Series', 'Episode']",QG3_RecommendationByGenreAndSubtype,primary,hot,2,1,completed,,2026-05-28 12:13:44.370911+00:00,2026-05-28 12:13:44.379029+00:00,,,,,,,"Testar a configuração watchitem_g2 (G2) na família root_local_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",1,imdb_exec_sf0_25,executionStats,"{""primary_genre"": ""Drama"", ""title_type"": ""tvEpisode""}",,1,0.0,20.0,21.0,21.0,1.05,1.05,True,False,True,True,False,False,False,False,False,False,False,LIMIT|FETCH|IXSCAN|SORT,avg_rating_1|title_type_1,watchitems,1,3119040.0,1137905888.0,224305152.0,334757888.0,559063040.0,364.0,7644.0,7280.0,382.2,6.732840874115113e-06,0.2941876753870879
watchitem_g2_sf0.25__primary__QG9_TopRatedSeriesByGenre__hot__r01,watchitem_g2_sf0.25,watchitem_g2,G2,root_local_family,0.25,sf0.25,imdb_mongo_sf0.25_watchitem_g2,WatchItem,watchitems,1,shared_descriptor,['Genre'],[],"['Movie', 'Series', 'Episode']",QG9_TopRatedSeriesByGenre,primary,hot,2,1,completed,,2026-05-28 12:13:44.379195+00:00,2026-05-28 12:13:44.452903+00:00,,,,,,,"Testar a configuração watchitem_g2 (G2) na família root_local_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",1,imdb_exec_sf0_25,executionStats,"""Comedy""",,1,64.0,20.0,6311.0,6311.0,315.55,315.55,True,False,True,True,False,True,False,False,False,False,False,LIMIT|FETCH|IXSCAN|SORT|AND_SORTED,avg_rating_1|title_type_1|primary_genre_1,watchitems,1,3119040.0,1137905888.0,224305152.0,334757888.0,559063040.0,364.0,2297204.0,7280.0,114860.2,0.002023378988406689,0.2941876753870879
watchitem_g2_sf0.25__secondary_affected__QG1_WatchItemById__hot__r01,watchitem_g2_sf0.25,watchitem_g2,G2,root_local_family,0.25,sf0.25,imdb_mongo_sf0.25_watchitem_g2,WatchItem,watchitems,1,shared_descriptor,['Genre'],[],"['Movie', 'Series', 'Episode']",QG1_WatchItemById,secondary_affected,hot,2,1,completed,,2026-05-28 12:13:44.453125+00:00,2026-05-28 12:13:44.459835+00:00,,,,,,,"Testar a configuração watchitem_g2 (G2) na família root_local_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",2,imdb_exec_sf0_25,executionStats,"""tt0111161""",,1,0.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,EXPRESS_IXSCAN,watchitem_id_1,watchitems,1,3119040.0,1137905888.0,224305152.0,334757888.0,559063040.0,364.0,364.0,364.0,364.0,3.2061147019595773e-07,0.2941876753870879
