dataset,query_name,ablation_variant,full_schema_lens_g_classes,available_g_classes,selected_g_classes,removed_g_classes,removal_reasons,selected_count,full_count,has_relationship_semantics,is_deep_query,has_residual_traversal,has_high_update_pressure,has_high_sharedness_pressure,rule_note
fiben,Q10_CreateAccountHoldingAndBuyTransaction,full_schema_lens,G2|G3|G4|G5|G7|G9,CONTROL|G2|G3|G4|G5|G7|G9,G2|G3|G4|G5|G7|G9,,,6,6,True,True,False,True,True,Full SchemaLens measured space: all non-control benchmark groups.
fiben,Q10_CreateAccountHoldingAndBuyTransaction,no_relationship_semantics,G2|G3|G4|G5|G7|G9,CONTROL|G2|G3|G4|G5|G7|G9,G4|G7|G9,G2|G3|G5,G2:removed_semantic_g_class; G3:removed_semantic_g_class; G5:removed_semantic_g_class,3,6,True,True,False,True,True,"Removed relationship-semantics-driven classes. This ablation ignores association, associative, containment, descriptor, ownership, and subtype signals."
fiben,Q10_CreateAccountHoldingAndBuyTransaction,no_depth,G2|G3|G4|G5|G7|G9,CONTROL|G2|G3|G4|G5|G7|G9,G3|G5|G7|G9,G2|G4,G2:removed_depth_activation_evidence; G4:removed_depth_sensitive_g_class,4,6,True,True,False,True,True,Removed depth-sensitive classes. This ablation ignores embedding depth and deep/nested traversal evidence.
fiben,Q10_CreateAccountHoldingAndBuyTransaction,no_residual_traversal,G2|G3|G4|G5|G7|G9,CONTROL|G2|G3|G4|G5|G7|G9,G2|G3|G5|G7,G4|G9,G4:removed_residual_or_reduction_sensitive_g_class; G9:removed_residual_or_reduction_sensitive_g_class,4,6,True,True,False,True,True,"Removed residual-traversal/reduction-sensitive classes. This ablation ignores Re, DeltaR, and DeltaRratio as activation evidence."
fiben,Q10_CreateAccountHoldingAndBuyTransaction,no_sharedness,G2|G3|G4|G5|G7|G9,CONTROL|G2|G3|G4|G5|G7|G9,G2|G3|G4|G7|G9,G5,G5:removed_sharedness_sensitive_g_class,5,6,True,True,False,True,True,Removed sharedness-sensitive classes. This ablation ignores observed sharedness pressure.
fiben,Q10_CreateAccountHoldingAndBuyTransaction,no_update_volatility,G2|G3|G4|G5|G7|G9,CONTROL|G2|G3|G4|G5|G7|G9,G2|G3|G4|G5|G9,G7,G7:removed_update_sensitive_g_class,5,6,True,True,False,True,True,Removed update/volatility-sensitive classes. This ablation ignores write pressure and update volatility.
fiben,Q10_CreateAccountHoldingAndBuyTransaction,no_relationship_semantics_no_depth,G2|G3|G4|G5|G7|G9,CONTROL|G2|G3|G4|G5|G7|G9,G7|G9,G2|G3|G4|G5,G2:removed_semantic_g_class; G3:removed_semantic_g_class; G4:removed_depth_sensitive_g_class; G5:removed_semantic_g_class,2,6,True,True,False,True,True,Removed both relationship-semantics-driven and depth-sensitive classes. This ablation tests a reduced activation without semantic type or embedding depth.
fiben,Q1_CompanyProfileIBM,full_schema_lens,G0,CONTROL|G0,G0,,,1,1,False,False,True,False,False,Full SchemaLens measured space: all non-control benchmark groups.
fiben,Q1_CompanyProfileIBM,no_relationship_semantics,G0,CONTROL|G0,G0,,,1,1,False,False,True,False,False,"Removed relationship-semantics-driven classes. This ablation ignores association, associative, containment, descriptor, ownership, and subtype signals."
fiben,Q1_CompanyProfileIBM,no_depth,G0,CONTROL|G0,G0,,,1,1,False,False,True,False,False,Removed depth-sensitive classes. This ablation ignores embedding depth and deep/nested traversal evidence.
fiben,Q1_CompanyProfileIBM,no_residual_traversal,G0,CONTROL|G0,G0,,,1,1,False,False,True,False,False,"Removed residual-traversal/reduction-sensitive classes. This ablation ignores Re, DeltaR, and DeltaRratio as activation evidence."
fiben,Q1_CompanyProfileIBM,no_sharedness,G0,CONTROL|G0,G0,,,1,1,False,False,True,False,False,Removed sharedness-sensitive classes. This ablation ignores observed sharedness pressure.
fiben,Q1_CompanyProfileIBM,no_update_volatility,G0,CONTROL|G0,G0,,,1,1,False,False,True,False,False,Removed update/volatility-sensitive classes. This ablation ignores write pressure and update volatility.
fiben,Q1_CompanyProfileIBM,no_relationship_semantics_no_depth,G0,CONTROL|G0,G0,,,1,1,False,False,True,False,False,Removed both relationship-semantics-driven and depth-sensitive classes. This ablation tests a reduced activation without semantic type or embedding depth.
fiben,Q2_CompanyWithIndustryCountryAndListedSecurities,full_schema_lens,G1|G3|G5|G7|G9,CONTROL|G1|G3|G5|G7|G9,G1|G3|G5|G7|G9,,,5,5,True,False,False,True,True,Full SchemaLens measured space: all non-control benchmark groups.
fiben,Q2_CompanyWithIndustryCountryAndListedSecurities,no_relationship_semantics,G1|G3|G5|G7|G9,CONTROL|G1|G3|G5|G7|G9,G7|G9,G1|G3|G5,G1:removed_semantic_g_class; G3:removed_semantic_g_class; G5:removed_semantic_g_class,2,5,True,False,False,True,True,"Removed relationship-semantics-driven classes. This ablation ignores association, associative, containment, descriptor, ownership, and subtype signals."
fiben,Q2_CompanyWithIndustryCountryAndListedSecurities,no_depth,G1|G3|G5|G7|G9,CONTROL|G1|G3|G5|G7|G9,G1|G3|G5|G7|G9,,,5,5,True,False,False,True,True,Removed depth-sensitive classes. This ablation ignores embedding depth and deep/nested traversal evidence.
fiben,Q2_CompanyWithIndustryCountryAndListedSecurities,no_residual_traversal,G1|G3|G5|G7|G9,CONTROL|G1|G3|G5|G7|G9,G1|G3|G5|G7,G9,G9:removed_residual_or_reduction_sensitive_g_class,4,5,True,False,False,True,True,"Removed residual-traversal/reduction-sensitive classes. This ablation ignores Re, DeltaR, and DeltaRratio as activation evidence."
fiben,Q2_CompanyWithIndustryCountryAndListedSecurities,no_sharedness,G1|G3|G5|G7|G9,CONTROL|G1|G3|G5|G7|G9,G1|G3|G7|G9,G5,G5:removed_sharedness_sensitive_g_class,4,5,True,False,False,True,True,Removed sharedness-sensitive classes. This ablation ignores observed sharedness pressure.
fiben,Q2_CompanyWithIndustryCountryAndListedSecurities,no_update_volatility,G1|G3|G5|G7|G9,CONTROL|G1|G3|G5|G7|G9,G1|G3|G5|G9,G7,G7:removed_update_sensitive_g_class,4,5,True,False,False,True,True,Removed update/volatility-sensitive classes. This ablation ignores write pressure and update volatility.
fiben,Q2_CompanyWithIndustryCountryAndListedSecurities,no_relationship_semantics_no_depth,G1|G3|G5|G7|G9,CONTROL|G1|G3|G5|G7|G9,G7|G9,G1|G3|G5,G1:removed_semantic_g_class; G3:removed_semantic_g_class; G5:removed_semantic_g_class,2,5,True,False,False,True,True,Removed both relationship-semantics-driven and depth-sensitive classes. This ablation tests a reduced activation without semantic type or embedding depth.
fiben,Q3_SecuritiesHeldInEachFinancialServiceAccount,full_schema_lens,G2|G3|G4|G5|G7|G9,CONTROL|G2|G3|G4|G5|G7|G9,G2|G3|G4|G5|G7|G9,,,6,6,True,True,False,True,True,Full SchemaLens measured space: all non-control benchmark groups.
fiben,Q3_SecuritiesHeldInEachFinancialServiceAccount,no_relationship_semantics,G2|G3|G4|G5|G7|G9,CONTROL|G2|G3|G4|G5|G7|G9,G4|G7|G9,G2|G3|G5,G2:removed_semantic_g_class; G3:removed_semantic_g_class; G5:removed_semantic_g_class,3,6,True,True,False,True,True,"Removed relationship-semantics-driven classes. This ablation ignores association, associative, containment, descriptor, ownership, and subtype signals."
fiben,Q3_SecuritiesHeldInEachFinancialServiceAccount,no_depth,G2|G3|G4|G5|G7|G9,CONTROL|G2|G3|G4|G5|G7|G9,G3|G5|G7|G9,G2|G4,G2:removed_depth_activation_evidence; G4:removed_depth_sensitive_g_class,4,6,True,True,False,True,True,Removed depth-sensitive classes. This ablation ignores embedding depth and deep/nested traversal evidence.
