dataset,query_name,query_id,generic_class,selected_root,g_class,is_active,activation_status,activation_strength,activation_score,activation_reason,g_family,g_role,g_label,source_file
fiben,Q10_CreateAccountHoldingAndBuyTransaction,,QG10,Person,G0,False,inactive,inactive,0.0,The query requires at least one conceptual relationship.,,,Root-only document,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q10_CreateAccountHoldingAndBuyTransaction,,QG10,Person,G1,False,inactive,inactive,0.0,Descriptor-oriented embedding is not a main driver.,,,Root with direct descriptors,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q10_CreateAccountHoldingAndBuyTransaction,,QG10,Person,G2,True,active,active,1.0,The query touches containment relationships suitable for nested document structures.,,,Root with contained children,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q10_CreateAccountHoldingAndBuyTransaction,,QG10,Person,G3,True,active,active,0.8,The query touches associative relationships that may require embedded summaries or references.,,,Root with associated references,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q10_CreateAccountHoldingAndBuyTransaction,,QG10,Person,G4,True,active,active,1.0,The query has a deep traversal profile and benefits from a multi-level document structure.,,,Deep nested traversal document,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q10_CreateAccountHoldingAndBuyTransaction,,QG10,Person,G5,True,active,active,0.4958825,The query touches shared target entities; reference-oriented design or controlled duplication should be considered.,,,Shared target reference strategy,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q10_CreateAccountHoldingAndBuyTransaction,,QG10,Person,G6,False,inactive,inactive,0.0,Aggregation-oriented configuration is not central.,,,Aggregation-oriented document,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q10_CreateAccountHoldingAndBuyTransaction,,QG10,Person,G7,True,active,active,1.0,The query touches update-volatile entities or is itself a write query; embedding decisions should consider update maintenance.,,,Update-aware document strategy,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q10_CreateAccountHoldingAndBuyTransaction,,QG10,Person,G8,False,inactive,inactive,0.0,The query does not require a hybrid because either there is no reduction or no remaining external edge.,,,Hybrid embedded-reference strategy,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q10_CreateAccountHoldingAndBuyTransaction,,QG10,Person,G9,True,active,active,0.8455765,The query has a design trade-off that should be validated through benchmark alternatives.,,,Benchmark-required trade-off candidate,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q1_CompanyProfileIBM,,QG1,Corporation,G0,True,active,active,1.0,The query does not require conceptual relationship traversal.,,,Root-only document,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q1_CompanyProfileIBM,,QG1,Corporation,G1,False,inactive,inactive,0.0,Descriptor-oriented embedding is not a main driver.,,,Root with direct descriptors,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q1_CompanyProfileIBM,,QG1,Corporation,G2,False,inactive,inactive,0.0,Containment embedding is not a main driver.,,,Root with contained children,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q1_CompanyProfileIBM,,QG1,Corporation,G3,False,inactive,inactive,0.0,Associative references are not central for this query.,,,Root with associated references,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q1_CompanyProfileIBM,,QG1,Corporation,G4,False,inactive,inactive,0.0,The query does not require a deep document structure.,,,Deep nested traversal document,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q1_CompanyProfileIBM,,QG1,Corporation,G5,False,inactive,inactive,0.0,Observed sharedness is not a main design pressure.,,,Shared target reference strategy,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q1_CompanyProfileIBM,,QG1,Corporation,G6,False,inactive,inactive,0.0,Aggregation-oriented configuration is not central.,,,Aggregation-oriented document,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q1_CompanyProfileIBM,,QG1,Corporation,G7,False,inactive,inactive,0.0,Update volatility is not relevant for this query.,,,Update-aware document strategy,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q1_CompanyProfileIBM,,QG1,Corporation,G8,False,inactive,inactive,0.0,The query does not require a hybrid because either there is no reduction or no remaining external edge.,,,Hybrid embedded-reference strategy,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
