dataset,query_name,semantic_family,query_plan_scope,query_plan_experiment,main_physical_signal,query_plan_files,existing_files,missing_files,missing_file_list,status
imdb,QG1_WatchItemById,local lookup,group-level,IMDb Group A light/no-roles query-plan,indexed lookup over WatchItem or specialized candidate root,analysis/generated/query_plan/imdb/group_A_light_no_roles/query_plan_summary_results_group_A.csv | analysis/generated/query_plan/imdb/group_A_light_no_roles/query_plan_component_results_group_A.csv,2,0,,available
imdb,QG2_WatchItemByTitle,filtered lookup,group-level,IMDb Group A light/no-roles query-plan,title-based indexed lookup over WatchItem-oriented candidates,analysis/generated/query_plan/imdb/group_A_light_no_roles/query_plan_summary_results_group_A.csv | analysis/generated/query_plan/imdb/group_A_light_no_roles/query_plan_component_results_group_A.csv,2,0,,available
imdb,QG3_RecommendationByGenreAndSubtype,association / recommendation,group-level,IMDb Group A light/no-roles query-plan,genre/subtype predicates and candidate root specialization,analysis/generated/query_plan/imdb/group_A_light_no_roles/query_plan_summary_results_group_A.csv | analysis/generated/query_plan/imdb/group_A_light_no_roles/query_plan_component_results_group_A.csv,2,0,,available
imdb,QG4_AllPersonsOfTypeForWatchItem,associative,detailed/group-level,IMDb Group C roles query-plan,bridge/role traversal and indexed person access,analysis/generated/query_plan/imdb/group_C_roles_sf025/query_plan_summary_results_group_C_roles_sf025.csv | analysis/generated/query_plan/imdb/group_C_roles_sf050/query_plan_summary_results_group_C_roles_sf050.csv | analysis/generated/query_plan/imdb/group_C_roles_sf1_assoc_only/query_plan_summary_results_group_C_roles_sf1_assoc_only.csv | analysis/generated/query_plan/imdb/group_C_roles_sf025/query_plan_component_results_group_C_roles_sf025.csv | analysis/generated/query_plan/imdb/group_C_roles_sf050/query_plan_component_results_group_C_roles_sf050.csv | analysis/generated/query_plan/imdb/group_C_roles_sf1_assoc_only/query_plan_component_results_group_C_roles_sf1_assoc_only.csv,6,0,,available
imdb,QG5_AllPersonsForEpisodesOfSeries,deep associative / containment-affected,detailed/group-level,IMDb Group C QG5 with episodes query-plan,episode traversal combined with role/person access,analysis/generated/query_plan/imdb/group_C_qg5_sf1_assoc_only_with_episodes/query_plan_summary_results_group_C_qg5_sf1_assoc_only_with_episodes.csv | analysis/generated/query_plan/imdb/group_C_qg5_sf1_assoc_only_with_episodes/query_plan_component_results_group_C_qg5_sf1_assoc_only_with_episodes.csv | analysis/generated/query_plan/imdb/group_C_roles_sf025/query_plan_summary_results_group_C_roles_sf025.csv | analysis/generated/query_plan/imdb/group_C_roles_sf050/query_plan_summary_results_group_C_roles_sf050.csv,4,0,,available
imdb,QG6_EpisodesOfSeries,containment,detailed,IMDb Group B episodes query-plan,COUNT_SCAN over external episodes versus embedded series document size,analysis/generated/query_plan/imdb/group_B_episodes/query_plan_summary_results_group_B.csv | analysis/generated/query_plan/imdb/group_B_episodes/query_plan_component_results_group_B.csv,2,0,,available
imdb,QG7_UpdateWatchItemMetadata,update,group-level/write-related,IMDb Group A light/no-roles query-plan,update maintenance over WatchItem-oriented physical layouts,analysis/generated/query_plan/imdb/group_A_light_no_roles/query_plan_summary_results_group_A.csv | analysis/generated/query_plan/imdb/group_A_light_no_roles/query_plan_component_results_group_A.csv,2,0,,available
imdb,QG8_AddPersonRoleToWatchItem,insert / associative update,detailed/write-related,IMDb Group D insert QG8 query-plan,insert/update maintenance path for associative Role structures,analysis/generated/query_plan/imdb/group_D_insert_qg8/query_plan_summary_results_group_D.csv | analysis/generated/query_plan/imdb/group_D_insert_qg8/query_plan_component_results_group_D.csv,2,0,,available
imdb,QG9_TopRatedSeriesByGenre,ranking / containment-affected,detailed,IMDb QG9 validation,generic watchitems root versus specialized series root,analysis/generated/query_plan/imdb/qg9_validation/query_plan_summary_qg9_all_sfs.csv | analysis/generated/query_plan/imdb/qg9_validation/query_plan_components_qg9_all_sfs.csv | analysis/generated/query_plan/imdb/qg9_validation/query_plan_summary_results_qg9_sf025_sf050.csv | analysis/generated/query_plan/imdb/qg9_validation/query_plan_summary_results_qg9_sf1.csv,4,0,,available
imdb,QG10_AdvancedSearchWatchItems,filtered search,group-level,IMDb Group A light/no-roles query-plan,multi-predicate filtered search over WatchItem-oriented candidates,analysis/generated/query_plan/imdb/group_A_light_no_roles/query_plan_summary_results_group_A.csv | analysis/generated/query_plan/imdb/group_A_light_no_roles/query_plan_component_results_group_A.csv,2,0,,available
fiben,Q1_CompanyProfileIBM,rooted lookup,dataset-level,FIBEN read-query explain-plan validation,selective company-root lookup; control can be competitive at small absolute latency,analysis/generated/query_plan/fiben/fiben_query_plan_summary_all.csv | analysis/generated/query_plan/fiben/fiben_query_plan_components_all.csv,2,0,,available
fiben,Q2_CompanyWithIndustryCountryAndListedSecurities,association / descriptor,detailed/dataset-level,FIBEN Q2 detailed query-plan validation,indexed corporation lookup plus descriptor/security dereferencing,analysis/generated/query_plan/fiben/fiben_query_plan_summary_all.csv | analysis/generated/query_plan/fiben/fiben_query_plan_components_all.csv,2,0,,available
fiben,Q3_SecuritiesHeldInEachFinancialServiceAccount,associative / bridge,dataset-level,FIBEN read-query explain-plan validation,holding/security/account traversal,analysis/generated/query_plan/fiben/fiben_query_plan_summary_all.csv | analysis/generated/query_plan/fiben/fiben_query_plan_components_all.csv,2,0,,available
fiben,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,deep traversal,dataset-level,FIBEN read-query explain-plan validation,person-account-holding-security-company traversal,analysis/generated/query_plan/fiben/fiben_query_plan_summary_all.csv | analysis/generated/query_plan/fiben/fiben_query_plan_components_all.csv,2,0,,available
fiben,Q5_ReportsAndMetricDataOfCompany,analytical hierarchy,dataset-level,FIBEN read-query explain-plan validation,analytical report hierarchy traversal,analysis/generated/query_plan/fiben/fiben_query_plan_summary_all.csv | analysis/generated/query_plan/fiben/fiben_query_plan_components_all.csv,2,0,,available
fiben,Q6_TechUSListedSecuritiesWithHighLastTradedValue,filtered analytical,dataset-level,FIBEN read-query explain-plan validation,filtered listed-security and market-value access,analysis/generated/query_plan/fiben/fiben_query_plan_summary_all.csv | analysis/generated/query_plan/fiben/fiben_query_plan_components_all.csv,2,0,,available
fiben,Q7_PersonsWhoBoughtMoreIBMThanSold,aggregation / transaction,dataset-level,FIBEN read-query explain-plan validation,transaction aggregation over buy/sell activity,analysis/generated/query_plan/fiben/fiben_query_plan_summary_all.csv | analysis/generated/query_plan/fiben/fiben_query_plan_components_all.csv,2,0,,available
